# L0_vintage_register.csv -- NEW consensus value register (Card 0 file 3).
# This does NOT replace data/processed/overnight/20_vintage_register.csv, which is a
# series-lineage register with an incompatible schema and is left untouched.
# HARD RULE: the 6 Aug 2026 pre-guide 3Q26 Street is LSEG $4,610M (role=pre_guide).
# Zacks $4,740M is a 2026-09-04 vintage and must never be used as the 6 Aug pre-guide value.
# pit_usable == False means vintage_unknown or value missing: excluded from every PIT use.
register_id,vendor,period,metric,value,unit,n_estimates,as_of_timestamp,url,source_path,role,pit_usable,vendor_attributed,note
PG-2023Q2-revenue,Refinitiv,2023Q2,revenue,2420.0,musd,,2023-05-09,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2023Q2-revenue,Refinitiv,2023Q2,revenue,2420.0,musd,,2023-08-03,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2023Q2-eps_adj,vendor_not_recorded,2023Q2,eps_adj,0.78,usd,,2023-08-03,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2023Q2-nights,vendor_not_recorded,2023Q2,nights,117.6,m_nights,,2023-08-03,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2023Q2-gbv,vendor_not_recorded,2023Q2,gbv,18.99,busd,,2023-08-03,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2023Q3-revenue,Refinitiv,2023Q3,revenue,3220.0,musd,,2023-08-03,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2023Q3-revenue,LSEG,2023Q3,revenue,3370.0,musd,,2023-11-01,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2023Q3-eps_adj,vendor_not_recorded,2023Q3,eps_adj,2.1,usd,,2023-11-01,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2023Q3-nights,vendor_not_recorded,2023Q3,nights,112.9,m_nights,,2023-11-01,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2023Q4-revenue,LSEG,2023Q4,revenue,2180.0,musd,,2023-11-01,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2023Q4-revenue,LSEG,2023Q4,revenue,2170.0,musd,,2024-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2023Q4-eps_adj,vendor_not_recorded,2023Q4,eps_adj,0.62,usd,,2024-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2023Q4-adj_ebitda,vendor_not_recorded,2023Q4,adj_ebitda,645.0,musd,,2024-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2023Q4-nights,vendor_not_recorded,2023Q4,nights,98.0,m_nights,,2024-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2024Q1-revenue,LSEG,2024Q1,revenue,2030.0,musd,,2024-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2024Q1-revenue,LSEG,2024Q1,revenue,2060.0,musd,,2024-05-08,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2024Q1-eps_adj,vendor_not_recorded,2024Q1,eps_adj,0.24,usd,,2024-05-08,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2024Q1-adj_ebitda,vendor_not_recorded,2024Q1,adj_ebitda,326.0,musd,,2024-05-08,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2024Q1-nights,vendor_not_recorded,2024Q1,nights,132.1,m_nights,,2024-05-08,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2024Q2-revenue,LSEG,2024Q2,revenue,2740.0,musd,,2024-05-08,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2024Q2-revenue,LSEG,2024Q2,revenue,2740.0,musd,,2024-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=medium
AP-2024Q2-eps_adj,vendor_not_recorded,2024Q2,eps_adj,0.92,usd,,2024-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=medium
PG-2024Q3-revenue,LSEG,2024Q3,revenue,3840.0,musd,,,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,False,True,"vintage_unknown: this value appears only in 16_consensus_at_print_merged.csv, is absent from 04_consensus_at_print.csv, carries no as-of timestamp or url, and the same row's notes column says NEXT-QUARTER CONSENSUS NOT FOUND. Registered for audit; excluded from every PIT use."
AP-2024Q3-revenue,LSEG,2024Q3,revenue,3720.0,musd,,2024-11-07,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2024Q3-eps_adj,vendor_not_recorded,2024Q3,eps_adj,2.14,usd,,2024-11-07,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2024Q3-adj_ebitda,vendor_not_recorded,2024Q3,adj_ebitda,1860.0,musd,,2024-11-07,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2024Q3-nights,vendor_not_recorded,2024Q3,nights,121.4,m_nights,,2024-11-07,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2024Q3-gbv,vendor_not_recorded,2024Q3,gbv,19.9,busd,,2024-11-07,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2024Q4-revenue,LSEG,2024Q4,revenue,2420.0,musd,,2024-11-07,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2024Q4-revenue,LSEG,2024Q4,revenue,2420.0,musd,,2025-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2024Q4-eps_adj,vendor_not_recorded,2024Q4,eps_adj,0.58,usd,,2025-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2024Q4-adj_ebitda,vendor_not_recorded,2024Q4,adj_ebitda,653.5,musd,,2025-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2024Q4-nights,vendor_not_recorded,2024Q4,nights,108.7,m_nights,,2025-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2024Q4-gbv,vendor_not_recorded,2024Q4,gbv,17.2,busd,,2025-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2025Q1-revenue,LSEG,2025Q1,revenue,2300.0,musd,,2025-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2025Q1-revenue,LSEG,2025Q1,revenue,2260.0,musd,,2025-05-01,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2025Q1-eps_adj,vendor_not_recorded,2025Q1,eps_adj,0.24,usd,,2025-05-01,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2025Q1-nights,vendor_not_recorded,2025Q1,nights,143.4,m_nights,,2025-05-01,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2025Q2-revenue,LSEG,2025Q2,revenue,3040.0,musd,,2025-05-01,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2025Q2-revenue,LSEG,2025Q2,revenue,3040.0,musd,,2025-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2025Q2-eps_adj,vendor_not_recorded,2025Q2,eps_adj,0.93,usd,,2025-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2025Q2-nights,vendor_not_recorded,2025Q2,nights,133.35,m_nights,,2025-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2025Q2-gbv,vendor_not_recorded,2025Q2,gbv,22.66,busd,,2025-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2025Q3-revenue,LSEG,2025Q3,revenue,4050.0,musd,,2025-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2025Q3-revenue,LSEG,2025Q3,revenue,4080.0,musd,,2025-11-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2025Q3-eps_adj,vendor_not_recorded,2025Q3,eps_adj,2.34,usd,,2025-11-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2025Q3-nights,vendor_not_recorded,2025Q3,nights,131.75,m_nights,,2025-11-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2025Q3-gbv,vendor_not_recorded,2025Q3,gbv,21.9,busd,,2025-11-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2025Q4-revenue,LSEG,2025Q4,revenue,2670.0,musd,,2025-11-06,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2025Q4-revenue,LSEG,2025Q4,revenue,2720.0,musd,,2026-02-12,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2025Q4-eps_adj,vendor_not_recorded,2025Q4,eps_adj,0.66,usd,,2026-02-12,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2025Q4-nights,vendor_not_recorded,2025Q4,nights,117.6,m_nights,,2026-02-12,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2025Q4-gbv,vendor_not_recorded,2025Q4,gbv,19.4,busd,,2026-02-12,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2026Q1-revenue,LSEG,2026Q1,revenue,2530.0,musd,,2026-02-12,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2026Q1-revenue,LSEG,2026Q1,revenue,2620.0,musd,,2026-05-07,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2026Q1-eps_adj,vendor_not_recorded,2026Q1,eps_adj,0.29,usd,,2026-05-07,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2026Q1-adj_ebitda,vendor_not_recorded,2026Q1,adj_ebitda,485.0,musd,,2026-05-07,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2026Q1-nights,vendor_not_recorded,2026Q1,nights,155.77,m_nights,,2026-05-07,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2026Q1-gbv,vendor_not_recorded,2026Q1,gbv,27.82,busd,,2026-05-07,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2026Q2-revenue,LSEG,2026Q2,revenue,3460.0,musd,,2026-05-07,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2026Q2-revenue,LSEG,2026Q2,revenue,3580.0,musd,,2026-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2026Q2-eps_adj,vendor_not_recorded,2026Q2,eps_adj,1.25,usd,,2026-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2026Q2-adj_ebitda,vendor_not_recorded,2026Q2,adj_ebitda,1225.6,musd,,2026-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2026Q2-nights,vendor_not_recorded,2026Q2,nights,145.44,m_nights,,2026-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2026Q2-gbv,vendor_not_recorded,2026Q2,gbv,26.42,busd,,2026-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2026Q3-revenue,LSEG,2026Q3,revenue,4610.0,musd,,2026-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
CU-2026Q3-revenue-Zacks-0,Zacks,2026Q3,revenue,4740.0,musd,7.0,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,data/processed/overnight/04_current_consensus.csv,current,True,True,"Sales Estimates, Current Qtr (9/2026): Zacks Consensus Estimate 4.74B, # of Estimates 7, High 4.77B, Low 4.72B, YoY growth est 15.79%"
CU-2026Q3-eps_adj-Zacks-1,Zacks,2026Q3,eps_adj,2.87,usd,11.0,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,data/processed/overnight/04_current_consensus.csv,current,True,True,"Earnings Estimates, Current Qtr (9/2026): Zacks Consensus 2.87, # of Estimates 11, High 3.28, Low 2.52; Most Accurate 2.88, Earnings ESP +0.45%; expected report date 11/5/26"
CU-2026Q4-revenue-Zacks-2,Zacks,2026Q4,revenue,3200.0,musd,10.0,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,data/processed/overnight/04_current_consensus.csv,current,True,True,"Sales Estimates, Next Qtr (12/2026): 3.20B, 10 estimates, High 3.70B, Low 3.05B"
CU-2026Q4-eps_adj-Zacks-3,Zacks,2026Q4,eps_adj,0.82,usd,10.0,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,data/processed/overnight/04_current_consensus.csv,current,True,True,"Earnings Estimates, Next Qtr (12/2026): 0.82, 10 estimates, High 0.96, Low 0.67"
CU-FY2026-revenue-Zacks-4,Zacks,FY2026,revenue,14100.0,musd,8.0,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,data/processed/overnight/04_current_consensus.csv,current,True,True,"Sales Estimates, Current Year (12/2026): 14.10B, 8 estimates, High 14.21B, Low 13.96B, YoY +15.21%"
CU-FY2026-eps_adj-Zacks-5,Zacks,FY2026,eps_adj,5.23,usd,13.0,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,data/processed/overnight/04_current_consensus.csv,current,True,True,"Earnings Estimates, Current Year (12/2026): 5.23, 13 estimates, High 5.74, Low 4.85 (was 4.91 sixty days ago)"
CU-FY2027-revenue-Zacks-6,Zacks,FY2027,revenue,15730.0,musd,13.0,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,data/processed/overnight/04_current_consensus.csv,current,True,True,"Sales Estimates, Next Year (12/2027): 15.73B, 13 estimates, High 16.29B, Low 14.99B, YoY +11.51%"
CU-FY2027-eps_adj-Zacks-7,Zacks,FY2027,eps_adj,6.02,usd,13.0,2026-09-04,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,data/processed/overnight/04_current_consensus.csv,current,True,True,"Earnings Estimates, Next Year (12/2027): 6.02, 13 estimates, High 6.80, Low 5.35"
CU-FY2026-revenue-S&P-8,S&P Global Market Intelligence,FY2026,revenue,14160.0,musd,43.0,2026-09-03,https://stockanalysis.com/stocks/abnb/forecast/,data/processed/overnight/04_current_consensus.csv,current,True,True,Revenue This Year 14.16B from 12.24B (+15.64%); Revenue Forecast 2026 High 14.3B / Avg 14.2B / Low 13.8B; No. Analysts 43
CU-FY2026-eps_adj-S&P-9,S&P Global Market Intelligence,FY2026,eps_adj,5.28,usd,43.0,2026-09-03,https://stockanalysis.com/stocks/abnb/forecast/,data/processed/overnight/04_current_consensus.csv,current,True,True,EPS This Year 5.28 from 4.03 (+31.04%); EPS Forecast 2026 High 5.91 / Avg 5.28 / Low 5.00. 'EPS and Forward PE are based on non-GAAP adjusted numbers.'
CU-FY2027-revenue-S&P-10,S&P Global Market Intelligence,FY2027,revenue,15760.0,musd,,2026-09-03,https://stockanalysis.com/stocks/abnb/forecast/,data/processed/overnight/04_current_consensus.csv,current,True,True,Revenue Next Year 15.76B from 14.16B (+11.32%)
CU-FY2027-eps_adj-S&P-11,S&P Global Market Intelligence,FY2027,eps_adj,6.14,usd,,2026-09-03,https://stockanalysis.com/stocks/abnb/forecast/,data/processed/overnight/04_current_consensus.csv,current,True,True,EPS Next Year 6.14 from 5.28 (+16.27%)
