period,ebitda_source,scenario,n_actual_quarters,revenue_musd,adj_ebitda_musd,da_musd,sbc_musd,op_income_musd,interest_income_musd,interest_expense_musd,other_income_musd,pretax_income_musd,tax_provision_musd,net_income_musd,cfo_musd,capex_musd,fcf_musd,fcf_seasonal_other_musd,diluted_shares_m,adj_ebitda_margin_pct,op_margin_pct,tax_rate_pct,eps_diluted,eps_sum_of_quarters,fcf_margin_pct,fcf_margin_seasonal_other_pct,sbc_pct_rev,street_ebitda_musd,street_revenue_musd,street_eps,street_net_income_musd,street_fcf_musd,street_ebit_musd,street_pretax_musd,street_as_of
FY2027,driver-lines,etr_16,0,15828.606600000001,5562.175487684005,82.53588239963007,2052.749616099962,3426.889989184412,765.2348502541582,148.0,14.829648450412895,4058.954487888984,649.4327180622374,3409.5217698267465,5458.354935695416,35.717283983127835,5422.637651712288,4875.93642009097,573.0411602185749,35.14001976449401,21.64997890076068,15.999999999999998,5.94987237657807,5.9640085610614175,34.25846499787472,30.80458402504596,12.96860594223096,5766.09917,15819.33924,6.22753,3673.10096,5353.28071,3804.41627,4568.60679,2026-09-11
FY2028,driver-lines,etr_16,0,17137.441,6022.100154528502,82.53588239963007,2323.2556391090143,3616.3086330198576,794.5100425825694,148.0,14.829648450412895,4277.64832405284,684.4237318484543,3593.2245922043853,5901.109849571299,35.717283983127835,5865.39256558817,5318.691333966854,551.7444137461971,35.14001976449402,21.101800630676763,16.0,6.512480240275295,6.518444202129377,34.22560326006765,31.03550485727043,13.556607658687282,6602.71735,17535.09557,7.51977,4363.9685,5771.48889,4510.0635,5556.67012,2026-09-11
FY2026,driver-lines,etr_19,2,14268.1433,5173.983195779814,80.26794119981503,1813.7397002142038,3279.9755543657957,691.5621032587189,132.0,61.414824225206445,3900.952481849721,719.3609715514469,3181.591510298274,4918.272900736293,38.858641991563914,4879.4142587447295,4344.29306052004,595.7568600364291,36.262484101766866,22.98810353527775,18.440649428529987,5.340419428999487,3.7346446093679093,34.19796224463718,30.447500905881988,12.71181303746931,5053.72214,14189.55705,5.31259,3185.949,4917.945,3234.70586,3948.03736,2026-09-11
FY2027,driver-lines,etr_19,0,15828.606600000001,5562.175487684005,82.53588239963007,2052.749616099962,3426.889989184412,765.2348502541582,148.0,14.829648450412895,4058.954487888984,771.2013526989069,3287.753135190077,5336.586301058746,35.717283983127835,5300.869017075619,4754.167785454302,573.0411602185749,35.14001976449401,21.64997890076068,19.0,5.737376934557425,5.751008255309225,33.48917027905425,30.03528930622549,12.96860594223096,5766.09917,15819.33924,6.22753,3673.10096,5353.28071,3804.41627,4568.60679,2026-09-11
FY2028,driver-lines,etr_19,0,17137.441,6022.100154528502,82.53588239963007,2323.2556391090143,3616.3086330198576,794.5100425825694,148.0,14.829648450412895,4277.64832405284,812.7531815700395,3464.8951424828,5772.780399849714,35.717283983127835,5737.063115866587,5190.361884245271,551.7444137461971,35.14001976449402,21.101800630676763,19.0,6.279891660265463,6.285642623481898,33.476778218326686,30.286679815529464,13.556607658687282,6602.71735,17535.09557,7.51977,4363.9685,5771.48889,4510.0635,5556.67012,2026-09-11
FY2026,driver-lines,no_buyback_renewal,2,14268.1433,5173.983195779814,80.26794119981503,1813.7397002142038,3279.9755543657957,691.5621032587189,132.0,61.414824225206445,3900.952481849721,692.1314467329498,3208.8210351167713,4945.5024255547905,38.858641991563914,4906.643783563227,4371.522585338537,595.7568600364291,36.262484101766866,22.98810353527775,17.7426269597819,5.386125196981466,3.7807513329403526,34.38880364737595,30.638342308620754,12.71181303746931,5053.72214,14189.55705,5.31259,3185.949,4917.945,3234.70586,3948.03736,2026-09-11
FY2027,driver-lines,no_buyback_renewal,0,15828.606600000001,5562.175487684005,82.53588239963007,2052.749616099962,3426.889989184412,765.2348502541582,148.0,14.829648450412895,4058.954487888984,710.3170353805721,3348.6374525084116,5397.470618377081,35.717283983127835,5361.753334393954,4815.052102772637,594.224311257379,35.14001976449401,21.64997890076068,17.499999999999996,5.635308736229073,5.605286812112829,33.87381763846449,30.419936665635728,12.96860594223096,5766.09917,15819.33924,6.22753,3673.10096,5353.28071,3804.41627,4568.60679,2026-09-11
FY2028,driver-lines,no_buyback_renewal,0,17137.441,6022.100154528502,82.53588239963007,2323.2556391090143,3616.3086330198576,794.5100425825694,148.0,14.829648450412895,4277.64832405284,748.5884567092469,3529.0598673435925,5836.945124710506,35.717283983127835,5801.227840727379,5254.526609106062,599.7595561008195,35.14001976449402,21.101800630676763,17.499999999999996,5.884124448615468,5.883854981462645,33.85119073919717,30.661092336399943,13.556607658687282,6602.71735,17535.09557,7.51977,4363.9685,5771.48889,4510.0635,5556.67012,2026-09-11
FY2026,driver-lines,rates_+100bp,2,14268.1433,5173.983195779814,80.26794119981503,1813.7397002142038,3279.9755543657957,784.3930604545822,132.0,61.414824225206445,3993.7834390455846,708.8410190282052,3284.9424200173794,5021.623810455398,38.858641991563914,4982.765168463835,4447.643970239145,595.7568600364291,36.262484101766866,22.98810353527775,17.748609303603118,5.513897766643447,3.909959095725913,34.922309537386234,31.171848198631043,12.71181303746931,5053.72214,14189.55705,5.31259,3185.949,4917.945,3234.70586,3948.03736,2026-09-11
FY2027,driver-lines,rates_+100bp,0,15828.606600000001,5562.175487684005,82.53588239963007,2052.749616099962,3426.889989184412,963.4822207863236,148.0,14.829648450412895,4257.201858421149,745.010325223701,3512.191533197448,5561.024699066118,35.717283983127835,5525.30741508299,4978.606183461673,573.0411602185749,35.14001976449401,21.64997890076068,17.499999999999996,6.129038849247398,6.142882573052168,34.907099245760456,31.4532182729317,12.96860594223096,5766.09917,15819.33924,6.22753,3673.10096,5353.28071,3804.41627,4568.60679,2026-09-11
FY2028,driver-lines,rates_+100bp,0,17137.441,6022.100154528502,82.53588239963007,2323.2556391090143,3616.3086330198576,1000.3416598319396,148.0,14.829648450412895,4483.47994130221,784.6089897278866,3698.870951574324,6006.756208941238,35.717283983127835,5971.038924958109,5424.337693336793,551.7444137461971,35.14001976449402,21.101800630676763,17.499999999999996,6.70395722987022,6.709767117393024,34.84206845676732,31.651970053970093,13.556607658687282,6602.71735,17535.09557,7.51977,4363.9685,5771.48889,4510.0635,5556.67012,2026-09-11
FY2026,driver-lines,rates_-100bp,2,14268.1433,5173.983195779814,80.26794119981503,1813.7397002142038,3279.9755543657957,598.7311460628558,132.0,61.414824225206445,3808.1215246538577,675.4218744376943,3132.6996502161633,4869.3810406541825,38.858641991563914,4830.522398662619,4295.401200437929,595.7568600364291,36.262484101766866,22.98810353527775,17.73635295157991,5.258352627319485,3.6515435701547925,33.85529775736566,30.104836418610468,12.71181303746931,5053.72214,14189.55705,5.31259,3185.949,4917.945,3234.70586,3948.03736,2026-09-11
FY2027,driver-lines,rates_-100bp,0,15828.606600000001,5562.175487684005,82.53588239963007,2052.749616099962,3426.889989184412,566.9874797219929,148.0,14.829648450412895,3860.7071173568183,675.6237455374433,3185.0833718193753,5233.9165376880455,35.717283983127835,5198.199253704916,4651.4980220836005,573.0411602185749,35.14001976449401,21.64997890076068,17.500000000000004,5.558210461888096,5.572134243318476,32.840536031168504,29.386655058339755,12.96860594223096,5766.09917,15819.33924,6.22753,3673.10096,5353.28071,3804.41627,4568.60679,2026-09-11
FY2028,driver-lines,rates_-100bp,0,17137.441,6022.100154528502,82.53588239963007,2323.2556391090143,3616.3086330198576,588.6784253331991,148.0,14.829648450412895,4071.816706803469,712.5679236906071,3359.2487831128624,5667.134040479776,35.717283983127835,5631.416756496648,5084.7155248753315,551.7444137461971,35.14001976449402,21.101800630676763,17.5,6.088414670670539,6.0943197082182525,32.86031302162702,29.6702146188298,13.556607658687282,6602.71735,17535.09557,7.51977,4363.9685,5771.48889,4510.0635,5556.67012,2026-09-11
FY2026,guide_implied,base,2,14268.1433,5090.025882857686,80.26794119981503,1813.7397002142038,3196.018241443667,691.5621032587189,132.0,61.414824225206445,3816.9951689275927,677.0191304069666,3139.9760385206264,4876.657428958645,38.858641991563914,4837.7987869670815,4302.677588742393,595.7568600364291,35.67405916688324,22.399678600394118,17.736965870909895,5.270566315138401,3.6647095860136214,33.90629520077137,30.15583386201618,12.71181303746931,5053.72214,14189.55705,5.31259,3185.949,4917.945,3234.70586,3948.03736,2026-09-11
FY2026,street,base,2,14268.1433,5055.205669999999,80.26794119981503,1813.7397002142038,3161.198028585981,691.5621032587189,132.0,61.414824225206445,3782.174956069906,670.7514920925831,3111.423463977323,4848.104854415342,38.858641991563914,4809.246212423778,4274.1250141990895,595.7568600364291,35.4300175132107,22.155636946721586,17.734544273688687,5.222639759090759,3.6162143188983897,33.70618104475989,29.9557197060047,12.71181303746931,5053.72214,14189.55705,5.31259,3185.949,4917.945,3234.70586,3948.03736,2026-09-11
